#,Pattern / Algorithm,Question,Status,Solution / Hints,Link
139,BFS (Shortest Path),Determine whether all rooms can be visited in Keys and Rooms.,Not Done,"BFS/DFS from room 0. Collect keys, visit new rooms. Check if all visited. O(V+E).",https://leetcode.com/problems/keys-and-rooms/
,,,,
,── MULTI-SOURCE BFS / FLOOD FILL ──,,,,
140,Multi-Source BFS,Count the number of islands.,Not Done,"For each unvisited '1', BFS/DFS flood fill and increment count. O(m×n).",https://leetcode.com/problems/number-of-islands/
141,Multi-Source BFS,Count the number of distinct islands.,Not Done,"DFS with shape encoding (relative positions or direction sequence). HashSet of shapes. O(m×n).",https://leetcode.com/problems/number-of-distinct-islands/
142,Multi-Source BFS,Find the maximum area of an island.,Not Done,"BFS/DFS flood fill. Track area of each island. Return maximum. O(m×n).",https://leetcode.com/problems/max-area-of-island/
143,Multi-Source BFS,Solve rotten oranges with multi-source BFS.,Not Done,"Enqueue all rotten initially. BFS layer by layer. Time = layers. Check fresh remaining. O(m×n).",https://leetcode.com/problems/rotting-oranges/
144,Multi-Source BFS,Perform flood fill.,Not Done,"DFS/BFS from starting cell. Change color of connected same-color cells. O(m×n).",https://leetcode.com/problems/flood-fill/
145,Multi-Source BFS,Count the number of connected components in a graph.,Not Done,"BFS/DFS from each unvisited node. Or DSU. Count components. O(V+E).",https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/
,,,,
,── BFS / DIJKSTRA WITH STATE ──,,,,
146,BFS with State / Dijkstra,Solve the water jug problem both as state-space search and with gcd reasoning.,Not Done,"BFS on states (a,b). Or math: solvable iff target % gcd(jug1,jug2) == 0. O(jug1×jug2) for BFS.",https://leetcode.com/problems/water-and-jug-problem/
147,BFS with State / Dijkstra,Find a path with minimum effort in a grid.,Not Done,"Dijkstra: state = (row, col). Weight = max abs diff along path. O(m×n log(m×n)).",https://leetcode.com/problems/path-with-minimum-effort/
148,BFS with State / Dijkstra,Solve Swim in Rising Water.,Not Done,"Dijkstra with max edge weight. Or binary search on time + BFS. O(n² log n).",https://leetcode.com/problems/swim-in-rising-water/
149,BFS with State / Dijkstra,Find the shortest path with alternating edge colors.,Not Done,"BFS with state = (node, last_color). Expand with alternating color. O(V+E).",https://leetcode.com/problems/shortest-path-with-alternating-colors/
150,BFS with State / Dijkstra,Find the cheapest flight within k stops.,Not Done,"Modified Bellman-Ford (k+1 iterations). Or BFS with level limit. O(k×E).",https://leetcode.com/problems/cheapest-flights-within-k-stops/
,,,,
,── DIJKSTRA / WEIGHTED SHORTEST PATH ──,,,,
151,Dijkstra / Weighted Graph,Find the shortest path in a weighted graph using Dijkstra's algorithm.,Not Done,"Min-heap priority queue. Relax edges greedily. No negative weights. O((V+E) log V).",https://www.geeksforgeeks.org/dijkstras-shortest-path-algorithm-greedy-algo-7/
152,Dijkstra / Weighted Graph,Solve Network Delay Time.,Not Done,"Dijkstra from source. Answer = max distance to any node. −1 if unreachable. O((V+E) log V).",https://leetcode.com/problems/network-delay-time/
153,Dijkstra / Weighted Graph,Find the minimum cost to connect all points.,Not Done,"MST: Prim's (min-heap) or Kruskal's (sort edges + DSU). Manhattan distance. O(n² log n).",https://leetcode.com/problems/min-cost-to-connect-all-points/
154,Dijkstra / Weighted Graph,Evaluate division queries on a graph.,Not Done,"Build weighted directed graph. DFS/BFS to find path and multiply edge weights. O(Q×(V+E)).",https://leetcode.com/problems/evaluate-division/
,,,,
,── TOPOLOGICAL SORT ──,,,,
155,Topological Sort,Solve course schedule by detecting a cycle in a directed graph.,Not Done,"Kahn's BFS (in-degree) or DFS 3-coloring. Cycle if not all nodes processed. O(V+E).",https://leetcode.com/problems/course-schedule/
156,Topological Sort,Perform topological sort.,Not Done,"Kahn's: BFS with in-degree tracking. Or DFS: add to stack on finish, reverse. O(V+E).",https://leetcode.com/problems/course-schedule-ii/
157,Topological Sort,Find eventual safe states in a directed graph.,Not Done,"Reverse graph + topo sort. Or DFS 3-coloring. Safe = nodes not in any cycle. O(V+E).",https://leetcode.com/problems/find-eventual-safe-states/
158,Topological Sort,Infer an alien dictionary order from sorted words.,Not Done,"Build DAG from adjacent word comparisons. Topological sort. Detect contradictions. O(C).",https://leetcode.com/problems/alien-dictionary/
159,Topological Sort,Enumerate all paths from source to target in a DAG.,Not Done,"DFS/backtracking. No cycles → explore all paths. Record when target reached. O(2ⁿ × n).",https://leetcode.com/problems/all-paths-from-source-to-target/
,,,,
,── UNION-FIND (DSU) ──,,,,
160,Union-Find (DSU),Implement disjoint set union with path compression and union by rank.,Not Done,"find(x): path compression. union(x,y): attach smaller rank under larger. Near O(1) amortized.",https://www.geeksforgeeks.org/introduction-to-disjoint-set-data-structure-or-union-find-algorithm/
161,Union-Find (DSU),Use DSU for component counting merges and connectivity queries.,Not Done,"Initialize each as own parent. Union on edges. Components = distinct roots.",https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/
162,Union-Find (DSU),Detect a cycle in an undirected graph.,Not Done,"Process edges. If both endpoints in same set → cycle. O(E × α(V)).",https://www.geeksforgeeks.org/detect-cycle-undirected-graph/
163,Union-Find (DSU),Find a minimum spanning tree.,Not Done,"Kruskal's: sort edges + DSU. Accept edge if endpoints in different sets. O(E log E).",https://www.geeksforgeeks.org/kruskals-minimum-spanning-tree-algorithm-greedy-algo-2/
164,Union-Find (DSU),Process dynamic island additions or Number of Islands II with DSU.,Not Done,"For each new land, union with adjacent land. Track component count. O(k × α(n)).",https://leetcode.com/problems/number-of-islands-ii/
165,Union-Find (DSU),Merge accounts using a graph or DSU.,Not Done,"Union accounts sharing same email. Group by root parent. O(n × k × α(n)).",https://leetcode.com/problems/accounts-merge/
166,Union-Find (DSU),Find a redundant connection.,Not Done,"Process edges with DSU. First edge connecting already-connected nodes is redundant. O(n × α(n)).",https://leetcode.com/problems/redundant-connection/
,,,,
,── GRAPH DFS & CYCLE DETECTION ──,,,,
167,Graph DFS,Detect a cycle in a directed graph.,Not Done,"DFS with 3-color (white/gray/black). Back edge (gray→gray) = cycle. O(V+E).",https://www.geeksforgeeks.org/detect-cycle-in-a-graph/
168,Graph DFS,Check whether a graph is bipartite.,Not Done,"BFS/DFS 2-coloring. If adjacent nodes get same color, not bipartite. O(V+E).",https://leetcode.com/problems/is-graph-bipartite/
169,Graph DFS,Clone a graph.,Not Done,"DFS/BFS with hashmap (original→clone). Clone neighbors recursively. O(V+E).",https://leetcode.com/problems/clone-graph/
,,,,
,── TARJAN'S ALGORITHM ──,,,,
170,Tarjan's Algorithm,Find critical connections or bridges in a network.,Not Done,"DFS with disc[] and low[]. Bridge if low[v] > disc[u] for edge u→v. O(V+E).",https://leetcode.com/problems/critical-connections-in-a-network/
171,Tarjan's Algorithm,Find articulation points in a graph.,Not Done,"Root is AP if ≥ 2 DFS children. Non-root u is AP if child v has low[v] ≥ disc[u]. O(V+E).",https://www.geeksforgeeks.org/articulation-points-or-cut-vertices-in-a-graph/
,,,,
,── TREE DFS (BOTTOM-UP / POST-ORDER) ──,,,,
172,Tree DFS (Post-order),Find the maximum depth of a binary tree.,Not Done,"1 + max(leftDepth, rightDepth). Base: null → 0. O(n).",https://leetcode.com/problems/maximum-depth-of-binary-tree/
173,Tree DFS (Post-order),Find the minimum depth of a binary tree.,Not Done,"BFS returns first leaf level. Or recursive: handle single-child nodes carefully. O(n).",https://leetcode.com/problems/minimum-depth-of-binary-tree/
174,Tree DFS (Post-order),Check whether a binary tree is height-balanced.,Not Done,"Return −1 if unbalanced. Check |leftH − rightH| ≤ 1 at each node. O(n).",https://leetcode.com/problems/balanced-binary-tree/
175,Tree DFS (Post-order),Compute the diameter of a binary tree.,Not Done,"Diameter through node = leftHeight + rightHeight. Track global max. O(n).",https://leetcode.com/problems/diameter-of-binary-tree/
176,Tree DFS (Post-order),Compute the maximum path sum in a binary tree.,Not Done,"At each node: single path = val + max(left, right, 0). Global = val + left + right. O(n).",https://leetcode.com/problems/binary-tree-maximum-path-sum/
177,Tree DFS (Post-order),Find the largest subtree that is also a BST.,Not Done,"Return (isBST, size, min, max) per subtree. Track global max size. O(n).",https://leetcode.com/problems/largest-bst-subtree/
178,Tree DFS (Post-order),Count univalue subtrees.,Not Done,"Subtree is univalue if children are univalue and same value as root. O(n).",https://leetcode.com/problems/count-univalue-subtrees/
179,Tree DFS (Post-order),Find the maximum sum of tree nodes such that no two adjacent nodes are chosen.,Not Done,"DP: include (val + grandchildren) vs exclude (children sums). Return pair. O(n).",https://leetcode.com/problems/house-robber-iii/
180,Tree DFS (Post-order),Find leaves of a binary tree in rounds.,Not Done,"Leaf height = 0. Internal = 1 + max(children). Group by height. O(n).",https://leetcode.com/problems/find-leaves-of-binary-tree/
181,Tree DFS (Post-order),Check whether one tree is a subtree of another.,Not Done,"For each node in main tree, check subtree match. O(m×n). Or serialize + KMP.",https://leetcode.com/problems/subtree-of-another-tree/
182,Tree DFS (Post-order),Convert a BST into a greater-sum tree.,Not Done,"Reverse inorder (right→root→left). Maintain running sum. Replace each value. O(n).",https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree/
,,,,
,── TREE DFS (TOP-DOWN / PRE-ORDER) ──,,,,
183,Tree DFS (Pre-order),Solve root-to-leaf path sum existence.,Not Done,"Subtract node value from target. At leaf, check remaining == 0. O(n).",https://leetcode.com/problems/path-sum/
184,Tree DFS (Pre-order),Print all root-to-leaf paths whose sum equals a target.,Not Done,"DFS with path tracking and backtracking. Record path when leaf + sum matches. O(n).",https://leetcode.com/problems/path-sum-ii/
185,Tree DFS (Pre-order),Count good nodes in a binary tree.,Not Done,"DFS passing max-so-far. Node is good if val ≥ max-so-far. O(n).",https://leetcode.com/problems/count-good-nodes-in-binary-tree/
186,Tree DFS (Pre-order),Turn a binary tree upside down under a specified parent-child transform.,Not Done,"Leftmost leaf → new root. Parent → right child, sibling → left. Iterative or recursive.",https://leetcode.com/problems/binary-tree-upside-down/
,,,,
,── TREE BFS / LEVEL-BASED ──,,,,
187,Tree BFS / Level-based,Perform level-order traversal.,Not Done,"BFS with queue. Process level by level using queue size. O(n).",https://leetcode.com/problems/binary-tree-level-order-traversal/
188,Tree BFS / Level-based,Perform zigzag level-order traversal.,Not Done,"BFS. Alternate direction per level using a flag or deque. O(n).",https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/
189,Tree BFS / Level-based,Perform vertical-order traversal.,Not Done,"BFS/DFS with (column, row). TreeMap<col, list>. Sort by col then row. O(n log n).",https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/
190,Tree BFS / Level-based,Print the top view or bottom view of a binary tree.,Not Done,"BFS with horizontal distance. Top: first node per HD. Bottom: last node per HD. O(n).",https://www.geeksforgeeks.org/print-nodes-top-view-binary-tree/
191,Tree BFS / Level-based,Perform diagonal traversal.,Not Done,"Group nodes by diagonal d. Left child: d+1, right child: same d. O(n).",https://www.geeksforgeeks.org/diagonal-traversal-of-binary-tree/
192,Tree BFS / Level-based,Print the left view or right view of a binary tree.,Not Done,"BFS: first (left) or last (right) node of each level. Or DFS with level tracking. O(n).",https://leetcode.com/problems/binary-tree-right-side-view/
193,Tree BFS / Level-based,Perform boundary traversal.,Not Done,"Left boundary (top-down) + leaves (left→right) + right boundary (bottom-up). No duplicates. O(n).",https://leetcode.com/problems/boundary-of-binary-tree/
194,Tree BFS / Level-based,Compute the sum of leaf nodes at the minimum level.,Not Done,"BFS. At first level with a leaf, sum all leaves at that level. O(n).",https://www.geeksforgeeks.org/sum-leaf-nodes-minimum-level/
195,Tree BFS / Level-based,Find the maximum width of a binary tree.,Not Done,"BFS with position indexing. Width = rightmost − leftmost + 1. Use offset for overflow. O(n).",https://leetcode.com/problems/maximum-width-of-binary-tree/
196,Tree BFS / Level-based,Find all nodes at distance k from a target node.,Not Done,"Build parent pointers (BFS/DFS). Then BFS k levels from target. O(n).",https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/
197,Tree BFS / Level-based,Find the amount of time needed to infect an entire binary tree from a start node.,Not Done,"Build graph (parent pointers). BFS from start. Time = max BFS depth. O(n).",https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected/
198,Tree BFS / Level-based,Reverse the odd levels of a binary tree.,Not Done,"BFS level by level. At odd levels, reverse the node values. O(n).",https://leetcode.com/problems/reverse-odd-levels-of-binary-tree/
,,,,
,── BST PROPERTIES ──,,,,
199,BST Properties,Compute range sum in a BST.,Not Done,"If node < low → go right. If node > high → go left. Else add value and go both. O(n).",https://leetcode.com/problems/range-sum-of-bst/
200,BST Properties,Find two nodes in a BST whose values sum to k.,Not Done,"Inorder → sorted array → two pointers. Or BST iterator + reverse iterator. O(n).",https://leetcode.com/problems/two-sum-iv-input-is-a-bst/
201,BST Properties,Find the inorder successor in a BST.,Not Done,"If right child: go right then leftmost. Else: ancestor where node is in left subtree. O(h).",https://leetcode.com/problems/inorder-successor-in-bst/
202,BST Properties,Find the predecessor and successor of a key in a BST.,Not Done,"Traverse. Update predecessor going right, successor going left. O(h).",https://www.geeksforgeeks.org/inorder-predecessor-successor-given-key-bst/
203,BST Properties,Find the closest value or k closest values in a BST.,Not Done,"BST search for closest. For k closest: inorder + sliding window, or pred/succ stacks. O(h + k).",https://leetcode.com/problems/closest-binary-search-tree-value/
,,,,
,── TREE CONSTRUCTION & SERIALIZATION ──,,,,
204,Tree Construction,Build or reason about a tree from inorder and level-order traversal.,Not Done,"Root from level-order first element. Partition inorder. Recursively filter level-order.",https://www.geeksforgeeks.org/construct-tree-inorder-level-order-traversals/
205,Tree Construction,Serialize and deserialize a binary tree.,Not Done,"Preorder with null markers. Serialize: node,left,right. Deserialize: read preorder, build recursively.",https://leetcode.com/problems/serialize-and-deserialize-binary-tree/
,,,,
,── LOWEST COMMON ANCESTOR ──,,,,
206,LCA,Find the lowest common ancestor in a binary tree.,Not Done,"If node is p or q, return it. Recurse left and right. If both non-null, current is LCA. O(n).",https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/
207,LCA,Find the lowest common ancestor in an N-ary tree.,Not Done,"Count target nodes found in children subtrees. If ≥ 2, current is LCA. O(n).",https://www.geeksforgeeks.org/lca-for-general-or-n-ary-trees/
,,,,
,── HEAP / PRIORITY QUEUE (TOP-K / MERGE) ──,,,,
208,Heap / Priority Queue,Find the k largest distinct elements without fully sorting the array.,Not Done,"Min-heap of size k. Iterate array. O(n log k). Or Quickselect O(n) average.",https://www.geeksforgeeks.org/k-largestor-smallest-elements-in-an-array/
209,Heap / Priority Queue,Find the kth smallest or kth largest element in an array.,Not Done,"Quickselect O(n) avg. Or min/max heap of size k: O(n log k).",https://leetcode.com/problems/kth-largest-element-in-an-array/
210,Heap / Priority Queue,Merge k sorted linked lists.,Not Done,"Min-heap of size k with heads. Extract min, push next from that list. O(n log k).",https://leetcode.com/problems/merge-k-sorted-lists/
211,Heap / Priority Queue,Merge k sorted arrays and optionally remove duplicates.,Not Done,"Min-heap of (value, array_idx, elem_idx). Extract min, push next. Skip dups. O(n log k).",https://www.geeksforgeeks.org/merge-k-sorted-arrays/
212,Heap / Priority Queue,Maintain the median of a data stream.,Not Done,"Two heaps: maxHeap (lower half), minHeap (upper half). Balance sizes. Median from tops. O(log n).",https://leetcode.com/problems/find-median-from-data-stream/
213,Heap / Priority Queue,Implement heap sort and explain heapify.,Not Done,"Build max-heap O(n). Repeatedly extract max and sift-down. O(n log n). Heapify = sift down.",https://www.geeksforgeeks.org/heap-sort/
214,Heap / Priority Queue,Connect ropes or merge files with minimum total cost.,Not Done,"Min-heap. Always merge two smallest. Total = sum of intermediate costs. O(n log n).",https://leetcode.com/problems/minimum-cost-to-connect-sticks/
215,Heap / Priority Queue,Find the smallest range covering at least one element from each of k lists.,Not Done,"Min-heap with one per list. Track max. Range = [heap_min, max]. Advance min's list. O(n log k).",https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/
216,Heap / Priority Queue,Maximize capital or profit under project-selection constraints such as IPO.,Not Done,"Sort by capital. Min-heap for capital, max-heap for affordable profits. Greedy. O(n log n).",https://leetcode.com/problems/ipo/
217,Heap / Priority Queue,Find the k closest points to the origin.,Not Done,"Max-heap of size k by distance. Or Quickselect. O(n log k) or O(n).",https://leetcode.com/problems/k-closest-points-to-origin/
218,Heap / Priority Queue,Sort a nearly sorted array where each element is at most k positions away.,Not Done,"Min-heap of size k+1. Extract min for each element. O(n log k).",https://www.geeksforgeeks.org/nearly-sorted-algorithm/
219,Heap / Priority Queue,Maintain the kth largest element in a stream.,Not Done,"Min-heap of size k. If new > top, replace and heapify. Top = kth largest. O(log k) per add.",https://leetcode.com/problems/kth-largest-element-in-a-stream/
220,Heap / Priority Queue,Schedule tasks with cooldown constraints using a heap-based strategy.,Not Done,"Max-heap by freq. Each cycle: pick top n+1 tasks. Idle if insufficient. O(tasks × log 26).",https://leetcode.com/problems/task-scheduler/
221,Heap / Priority Queue,Design an iterator over k sorted lists or streams.,Not Done,"Min-heap of (value, list_idx, elem_idx). Extract min, push next. O(log k) per next().",https://www.geeksforgeeks.org/merge-k-sorted-arrays/
,,,,
,── BACKTRACKING ──,,,,
222,Backtracking,Solve Rat in a Maze.,Not Done,"Try all 4 directions. Mark visited. Backtrack on dead end. O(4^(n²)).",https://www.geeksforgeeks.org/rat-in-a-maze/
223,Backtracking,Solve N-Queens.,Not Done,"Place row by row. Check column, diagonal, anti-diagonal. O(n!).",https://leetcode.com/problems/n-queens/
224,Backtracking,Solve Sudoku.,Not Done,"Try 1–9 in each empty cell. Validate row, column, 3×3 box. O(9^(empty cells)).",https://leetcode.com/problems/sudoku-solver/
225,Backtracking,Generate all permutations of an array or string.,Not Done,"Swap or visited-array approach. n! permutations. O(n × n!).",https://leetcode.com/problems/permutations/
226,Backtracking,Generate the power set or all subsets.,Not Done,"Include/exclude each element. Or iterative bitmask. 2ⁿ subsets.",https://leetcode.com/problems/subsets/
227,Backtracking,Solve Combination Sum and its common variants.,Not Done,"Sort for pruning. Allow reuse (I) or not (II). Handle dups (II). O(2^target).",https://leetcode.com/problems/combination-sum/
228,Backtracking,Partition a string into palindromic pieces.,Not Done,"Try each prefix. If palindrome, recurse on suffix. O(n × 2ⁿ).",https://leetcode.com/problems/palindrome-partitioning/
229,Backtracking,Generate balanced parentheses.,Not Done,"Track open/close count. '(' if open < n, ')' if close < open. O(4ⁿ/√n).",https://leetcode.com/problems/generate-parentheses/
230,Backtracking,Solve Word Search in a grid.,Not Done,"DFS from each matching cell. Mark visited. Try 4 directions. O(m×n×4^L).",https://leetcode.com/problems/word-search/
231,Backtracking,Generate all palindrome permutations of a string.,Not Done,"Check feasibility (≤1 odd-freq char). Generate half-permutations, mirror.",https://leetcode.com/problems/palindrome-permutation-ii/
232,Backtracking,Generate all letter combinations of a phone number.,Not Done,"Map digits to letters. Recurse generating all combos. O(4ⁿ).",https://leetcode.com/problems/letter-combinations-of-a-phone-number/
233,Backtracking,Restore all valid IP addresses from a digit string.,Not Done,"Try 1–3 digit segments (0–255). Exactly 4 segments. No leading zeros. Bounded O(1).",https://leetcode.com/problems/restore-ip-addresses/
234,Backtracking,Partition an array into k equal-sum subsets.,Not Done,"Target = sum/k. Assign each element to a bucket. Sort desc for pruning. O(k^n).",https://leetcode.com/problems/partition-to-k-equal-sum-subsets/
235,Backtracking,Insert operators into a digit string to reach a target value.,Not Done,"Try +, −, × between digits. Track cumulative and last operand for ×. O(4ⁿ).",https://leetcode.com/problems/expression-add-operators/
236,Backtracking,Solve graph coloring or M-coloring.,Not Done,"Try each of M colors per vertex. Check adjacency constraints. O(M^V).",https://www.geeksforgeeks.org/m-coloring-problem/
237,Backtracking,Form a square from matchsticks or solve equivalent subset-assignment.,Not Done,"Partition into 4 equal subsets. Backtracking with pruning. Sort desc. O(4ⁿ).",https://leetcode.com/problems/matchsticks-to-square/
238,Backtracking,Generate unique permutations when duplicates are present.,Not Done,"Sort. Skip if same as prev and prev not used in current branch. O(n × n!).",https://leetcode.com/problems/permutations-ii/
,,,,
,── DP — LINEAR (1D) ──,,,,
239,DP — Linear (1D),Count ways to reach the nth stair and common variants.,Not Done,"dp[i] = dp[i−1] + dp[i−2]. Fibonacci-like. O(1) space possible. O(n).",https://leetcode.com/problems/climbing-stairs/
240,DP — Linear (1D),Find the minimum cost to climb stairs.,Not Done,"dp[i] = cost[i] + min(dp[i−1], dp[i−2]). O(n).",https://leetcode.com/problems/min-cost-climbing-stairs/
241,DP — Linear (1D),Find the maximum sum of non-adjacent elements.,Not Done,"dp[i] = max(dp[i−1], dp[i−2] + arr[i]). O(n) time O(1) space.",https://www.geeksforgeeks.org/maximum-sum-such-that-no-two-elements-are-adjacent/
242,DP — Linear (1D),Solve House Robber.,Not Done,"Same pattern: dp[i] = max(skip, rob). O(n).",https://leetcode.com/problems/house-robber/
243,DP — Linear (1D),Solve House Robber II.,Not Done,"Circular: run House Robber on [0..n−2] and [1..n−1]. Take max. O(n).",https://leetcode.com/problems/house-robber-ii/
244,DP — Linear (1D),Count the number of ways to decode a digit string to letters.,Not Done,"dp[i] = dp[i−1] (valid single) + dp[i−2] (valid pair 10–26). O(n).",https://leetcode.com/problems/decode-ways/
245,DP — Linear (1D),Solve Word Break.,Not Done,"dp[i] = true if any dp[j] and s[j..i] in dict. O(n² × L) or trie-based.",https://leetcode.com/problems/word-break/
246,DP — Linear (1D),Find the longest increasing subsequence.,Not Done,"O(n²) DP. Or O(n log n) patience sorting with binary search on tails array.",https://leetcode.com/problems/longest-increasing-subsequence/
247,DP — Linear (1D),Find the longest arithmetic subsequence.,Not Done,"dp[i][diff] = length of AP ending at i with diff. HashMap per index. O(n²).",https://leetcode.com/problems/longest-arithmetic-subsequence/
248,DP — Linear (1D),Find the longest run of consecutive 1s in a binary array.,Not Done,"Linear scan. Reset counter on 0, update max on 1. O(n).",https://leetcode.com/problems/max-consecutive-ones/
249,DP — Linear (1D),Find the nth ugly number or its variants.,Not Done,"Three pointers for multiples of 2, 3, 5. dp[i] = min(dp[p2]×2, dp[p3]×3, dp[p5]×5). O(n).",https://leetcode.com/problems/ugly-number-ii/
250,DP — Linear (1D),Print the maximum number of As using four keys.,Not Done,"dp[i] = i for i ≤ 6. dp[i] = max(dp[j] × (i−j−1)) for breakpoints j. O(n²).",https://leetcode.com/problems/4-keys-keyboard/
,,,,
,── DP — STRING MATCHING ──,,,,
251,DP — String,Solve longest common subsequence.,Not Done,"dp[i][j] = dp[i−1][j−1]+1 if match, else max(dp[i−1][j], dp[i][j−1]). O(m×n).",https://leetcode.com/problems/longest-common-subsequence/
252,DP — String,Solve edit distance.,Not Done,"dp[i][j] = dp[i−1][j−1] if match. Else 1 + min(insert, delete, replace). O(m×n).",https://leetcode.com/problems/edit-distance/
253,DP — String,Count distinct subsequences.,Not Done,"dp[i][j] = dp[i−1][j] + (dp[i−1][j−1] if s[i]==t[j]). O(m×n).",https://leetcode.com/problems/distinct-subsequences/
254,DP — String,Solve wildcard matching.,Not Done,"'*' matches empty or any prefix. dp[i][j] = dp[i−1][j] || dp[i][j−1] for '*'. O(m×n).",https://leetcode.com/problems/wildcard-matching/
255,DP — String,Solve regex-style matching with . and *.,Not Done,"'.' matches any. 'x*' matches 0+ x. Careful * handling in 2D DP. O(m×n).",https://leetcode.com/problems/regular-expression-matching/
256,DP — String,Solve interleaving string.,Not Done,"dp[i][j] = true if s3[i+j−1] matches s1[i] (with dp[i−1][j]) or s2[j] (with dp[i][j−1]). O(m×n).",https://leetcode.com/problems/interleaving-string/
257,DP — String,Solve Word Break II.,Not Done,"Backtracking + memoization. Return all valid sentences. Cache per start index.",https://leetcode.com/problems/word-break-ii/
,,,,
,── DP — KNAPSACK / SUBSET SUM ──,,,,
258,DP — Knapsack / Subset,Solve 0/1 knapsack.,Not Done,"dp[i][w] = max(skip, take). Optimize to 1D iterating w backwards. O(n×W).",https://www.geeksforgeeks.org/0-1-knapsack-problem-dp-10/
259,DP — Knapsack / Subset,Solve unbounded knapsack or rod cutting.,Not Done,"1D DP: dp[w] = max(dp[w], dp[w−wt[i]] + val[i]). Iterate w forward. O(n×W).",https://www.geeksforgeeks.org/unbounded-knapsack-repetition-items-allowed/
260,DP — Knapsack / Subset,Solve coin change for minimum coins.,Not Done,"dp[amt] = min(dp[amt], dp[amt − coin] + 1). O(amount × coins).",https://leetcode.com/problems/coin-change/
261,DP — Knapsack / Subset,Solve coin change for number of ways.,Not Done,"dp[amt] += dp[amt − coin]. Outer loop on coins (not amounts) to avoid permutations. O(amount × coins).",https://leetcode.com/problems/coin-change-ii/
262,DP — Knapsack / Subset,Solve partition equal subset sum.,Not Done,"Target = sum/2. Boolean knapsack: dp[j] |= dp[j − nums[i]]. O(n × sum).",https://leetcode.com/problems/partition-equal-subset-sum/
263,DP — Knapsack / Subset,Solve weighted job scheduling or maximum profit in job scheduling.,Not Done,"Sort by end. Binary search last non-overlapping. dp[i] = max(dp[i−1], profit[i] + dp[j]). O(n log n).",https://leetcode.com/problems/maximum-profit-in-job-scheduling/
,,,,
,── DP — GRID ──,,,,
264,DP — Grid,Count matrix paths with blocked cells.,Not Done,"dp[i][j] = dp[i−1][j] + dp[i][j−1] if not blocked, else 0. O(m×n).",https://leetcode.com/problems/unique-paths-ii/
265,DP — Grid,Find the minimum path sum in a grid.,Not Done,"dp[i][j] = grid[i][j] + min(dp[i−1][j], dp[i][j−1]). O(m×n).",https://leetcode.com/problems/minimum-path-sum/
266,DP — Grid,Find the minimum-cost path in a grid with constrained moves.,Not Done,"DP if only down/right. Dijkstra if 4-directional with varying costs. O(m×n) or O(m×n log).",https://www.geeksforgeeks.org/min-cost-path-dp-6/
267,DP — Grid,Find the maximum path sum in a matrix.,Not Done,"Top-down DP. dp[i][j] = val + max(up-left, up, up-right). O(m×n).",https://www.geeksforgeeks.org/maximum-path-sum-matrix/
268,DP — Grid,Find the longest increasing path in a matrix.,Not Done,"DFS + memoization from each cell. Try 4 directions where neighbor > current. O(m×n).",https://leetcode.com/problems/longest-increasing-path-in-a-matrix/
269,DP — Grid,Solve Cherry Pickup or its common 2-agent grid variants.,Not Done,"3D DP: two agents simultaneously. dp[r][c1][c2]. No double-counting same cell. O(m×n²).",https://leetcode.com/problems/cherry-pickup/
,,,,
,── DP — INTERVAL ──,,,,
270,DP — Interval,Solve Burst Balloons.,Not Done,"dp[i][j] = max over k of dp[i][k] + dp[k][j] + nums[i]×nums[k]×nums[j]. O(n³).",https://leetcode.com/problems/burst-balloons/
271,DP — Interval,Solve matrix chain multiplication.,Not Done,"dp[i][j] = min over k of dp[i][k] + dp[k+1][j] + cost(i,k,j). O(n³).",https://www.geeksforgeeks.org/matrix-chain-multiplication-dp-8/
272,DP — Interval,Solve Boolean Parenthesization.,Not Done,"Track true/false counts per subexpression. Combine with AND/OR/XOR operators. O(n³).",https://www.geeksforgeeks.org/boolean-parenthesization-problem-dp-37/
,,,,
,── DP — PALINDROME ──,,,,
273,DP — Palindrome,Find the longest palindromic subsequence.,Not Done,"LCS of string and its reverse. Or gap DP: dp[i][j] = dp[i+1][j−1]+2 if match. O(n²).",https://leetcode.com/problems/longest-palindromic-subsequence/
274,DP — Palindrome,Find the longest palindromic substring.,Not Done,"Expand around center (odd + even). O(n²). Or Manacher's algorithm O(n).",https://leetcode.com/problems/longest-palindromic-substring/
,,,,
,── DP — MISCELLANEOUS ──,,,,
275,DP — Misc,Solve Paint House or minimum-cost coloring variants.,Not Done,"dp[i][color] = cost[i][color] + min(dp[i−1][other colors]). O(n×k).",https://leetcode.com/problems/paint-house/
276,DP — Misc,Partition an array into four non-empty parts minimizing gap of segment sums.,Not Done,"Prefix sums + DP/binary search. Try all partition points, minimize max−min of segment sums.",https://www.geeksforgeeks.org/partition-into-four-parts/
